Season,Team,Dropped Pokemon,Added Pokemon
Season 3,Chicago Beartics,Dusclops,Garbodor
Season 3,Chicago Beartics,Emboar,Gastrodon
Season 3,Chicago Beartics,Gliscor,Entei
Season 3,Dallas Starlies,Mandibuzz,Amoonguss
Season 3,Gallifreyan Gallades,Beartic,Persian-Alola
Season 3,La Tuque's Xatus,Eevee,Kecleon
Season 3,London Vespiquens,Hawlucha,Weavile
Season 3,London Vespiquens,Leavanny,Gourgeist
Season 3,London Vespiquens,Magnezone,Quagsire
Season 3,London Vespiquens,Qwilfish,Electivire
Season 3,Manchester Skitty,Castform,Armaldo
Season 3,Manchester Skitty,Froslass,Slurpuff
Season 3,Manchester Skitty,Kingdra,Diggersby
Season 3,Manchester Skitty,M-Swampert,Mega Gardevoir
Season 3,Manchester Skitty,Mesprit,Darmanitan
Season 3,Manchester Skitty,Pelipper,Alomomola
Season 3,North Pole Piplups,Bewear,Machamp
Season 3,The Pakd Machamps,Entei,Silvally
Season 3,The Pakd Machamps,Shuckle,Gligar
Season 3,The Pakd Machamps,Weavile,Heatran
Season 2,Chicago Beartics,Spiritomb,Exploud
Season 2,Chicago Beartics,Volcanion,Infernape
Season 2,Cleavland Escaviliers,Politoed,Swampert
Season 2,Cleavland Escaviliers,Toxapex,Diggersby
Season 2,Singapore Silvallies,Ditto,Lanturn
Season 1,Aston Vanilluxe,Haunter,Scyther
Season 1,Aston Vanilluxe,Hawlucha,Staraptor
Season 1,Aston Vanilluxe,Uxie,Cobalion
Season 1,Cleavland Escaviliers,Alolan Raichu,Slaking
Season 1,Cleavland Escaviliers,Latios,Nihilego
Season 1,Dallas Starlies,Blaziken,Ditto
Season 1,Dallas Starlies,Ninetales,Chesnaught
Season 1,Dallas Starlies,Staraptor,Florges
Season 1,Dynamic Diancies,Conkeldurr,Blissey
Season 1,Montreal Mamoswines,Drampa,Swellow
Season 1,Montreal Mamoswines,Milotic,Gengar
Season 1,Perth Persians,Diggersby,Hawlucha
Season 1,Perth Persians,Machamp,Golurk
Season 1,San Francisco Staraptors,Jellicent,Cofagrigus
Season 1,San Francisco Staraptors,Mudsdale,Seismitoad
Season 1,San Francisco Staraptors,Stunfisk,Kecleon
Season 1,Singapore Sableyes,Alakazam,Scolipede
Season 1,Singapore Sableyes,Steelix,Alolan Golem
Season 1,The Arctic Mankeys,Cradily,Hitmonchan
Season 1,The Arctic Mankeys,Turtonator,Lapras
