Season,Subleague,Week,Team 1,Team 2,Winner,Team1Score,Team2Score,Replay
Season 7,Masters,1,44th's Fire Blasts,Diamond Ridge Darmanitans,44th's Fire Blasts,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-24891
Season 7,Masters,1,The Arctic Mankeys,Amnesia Abra,The Arctic Mankeys,2,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-25003
Season 7,Masters,1,Primarina Sonata,Team Bcool Dguys,Primarina Sonata,3,0,Team 2 Forfeits
Season 7,Masters,1,Vegas Night Marchers,Marill's Rat Pack,Vegas Night Marchers,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-25157
Season 7,Masters,1,Pillars of Tahoma,San Francisco Brandons,Pillars of Tahoma,2,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-25303
Season 7,Masters,1,Whiscash Wanderers,San Antonio Espurrs,Whiscash Wanderers,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-25317
Season 7,Masters,1,Colorado Mamoswine,La Tuque's Xatus,La Tuque's Xatus,0,1,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-26037
Season 7,Masters,2,La Tuque's Xatus,Diamond Ridge Darmanitans,Diamond Ridge Darmanitans,0,3,Team 1 Forfeits
Season 7,Masters,2,San Francisco Brandons,Marill's Rat Pack,Marill's Rat Pack,0,3,Team 1 Forfeits
Season 7,Masters,2,Primarina Sonata,San Antonio Espurrs,San Antonio Espurrs,0,2,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-26040
Season 7,Masters,2,Pillars of Tahoma,Colorado Mamoswine,Pillars of Tahoma,2,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-27115
Season 7,Masters,2,Whiscash Wanderers,44th's Fire Blasts,Whiscash Wanderers,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-27238
Season 7,Masters,2,Amnesia Abra,Team Bcool Dguys,Amnesia Abra,1,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-27496
Season 7,Masters,2,The Arctic Mankeys,Vegas Night Marchers,The Arctic Mankeys,1,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-27993
Season 7,Masters,3,44th's Fire Blasts,Colorado Mamoswine,Colorado Mamoswine,0,4,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-28098
Season 7,Masters,3,Team Bcool Dguys,The Arctic Mankeys,The Arctic Mankeys,0,3,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-28301
Season 7,Masters,3,Marill's Rat Pack,Amnesia Abra,Amnesia Abra,0,4,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-28652
Season 7,Masters,3,Pillars of Tahoma,Vegas Night Marchers,Pillars of Tahoma,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-29288
Season 7,Masters,3,Diamond Ridge Darmanitans,San Antonio Espurrs,Diamond Ridge Darmanitans,2,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-29490
Season 7,Masters,3,San Francisco Brandons,La Tuque's Xatus,San Francisco Brandons,4,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-29500
Season 7,Masters,3,Primarina Sonata,Whiscash Wanderers,Whiscash Wanderers,0,3,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-29505
Season 7,Masters,4,Vegas Night Marchers,Amnesia Abra,Vegas Night Marchers,4,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-30239
Season 7,Masters,4,Pillars of Tahoma,The Arctic Mankeys,Pillars of Tahoma,1,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-30465
Season 7,Masters,4,Colorado Mamoswine,Whiscash Wanderers,Whiscash Wanderers,0,4,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-30531
Season 7,Masters,4,44th's Fire Blasts,San Antonio Espurrs,San Antonio Espurrs,0,3,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-30564
Season 7,Masters,4,Marill's Rat Pack,Diamond Ridge Darmanitans,Diamond Ridge Darmanitans,0,4,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-31529
Season 7,Masters,4,Team Bcool Dguys,San Francisco Brandons,Team Bcool Dguys,5,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-30595
Season 7,Masters,4,Primarina Sonata,La Tuque's Xatus,Primarina Sonata,3,0,Team 2 Forfeits
Season 7,Masters,5,San Antonio Espurrs,La Tuque's Xatus,San Antonio Espurrs,5,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-32403
Season 7,Masters,5,Whiscash Wanderers,Diamond Ridge Darmanitans,Whiscash Wanderers,5,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-32428
Season 7,Masters,5,Colorado Mamoswine,Primarina Sonata,Colorado Mamoswine,3,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-32708
Season 7,Masters,5,Pillars of Tahoma,Team Bcool Dguys,Team Bcool Dguys,0,3,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-32988
Season 7,Masters,5,44th's Fire Blasts,Vegas Night Marchers,Vegas Night Marchers,0,2,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-33154
Season 7,Masters,5,Marill's Rat Pack,The Arctic Mankeys,The Arctic Mankeys,0,1,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-33175
Season 7,Masters,5,Amnesia Abra,San Francisco Brandons,Amnesia Abra,6,0,https://replay.pokemonshowdown.com/sports-gen8nationaldexlegacy-33831
